Timestamp,A0,A1,A2,A3,A4
0.00013303756713867188,2875.0,2157.0,1251.0,4095.0,4095.0
0.006082057952880859,2179.0,2731.0,1287.0,4095.0,1051.0
0.006206035614013672,2750.0,2710.0,1360.0,4095.0,2522.0
0.011079072952270508,2898.0,2689.0,1360.0,4095.0,2499.0
0.011213064193725586,2522.0,2627.0,1466.0,4095.0,1834.0
0.019078969955444336,2497.0,2765.0,1962.0,4095.0,1923.0
0.019334077835083008,2784.0,2741.0,1854.0,4095.0,2419.0
0.02226996421813965,2901.0,2689.0,1872.0,4095.0,2179.0
0.022390127182006836,2624.0,2633.0,1838.0,4095.0,1680.0
0.028513193130493164,2841.0,2544.0,1776.0,4095.0,797.0
0.02887725830078125,2925.0,2400.0,686.0,4095.0,2406.0
0.033408164978027344,2915.0,2693.0,927.0,4095.0,1921.0
0.033576011657714844,2670.0,2625.0,883.0,4095.0,1813.0
0.038802146911621094,2861.0,2506.0,919.0,4095.0,607.0
0.03890419006347656,2402.0,2141.0,1063.0,4095.0,1071.0
0.045133113861083984,2754.0,2816.0,1062.0,4095.0,2203.0
0.045237064361572266,2889.0,2781.0,639.0,4095.0,1449.0
0.05106997489929199,2891.0,2452.0,1801.0,4095.0,592.0
0.05131816864013672,2391.0,2826.0,1755.0,4095.0,635.0
0.05585002899169922,2778.0,2843.0,1781.0,4095.0,569.0
0.055953025817871094,2897.0,2827.0,1776.0,4095.0,1914.0
0.06081104278564453,2555.0,2797.0,1783.0,4095.0,4095.0
0.06090712547302246,2800.0,3024.0,737.0,4095.0,626.0
0.06674408912658691,2785.0,3005.0,908.0,4095.0,3243.0
0.06684207916259766,2917.0,2976.0,882.0,4095.0,4095.0
0.07165098190307617,2622.0,2921.0,858.0,4095.0,2864.0
0.07174301147460938,2848.0,2871.0,853.0,4095.0,641.0
0.07775592803955078,2928.0,2767.0,963.0,4095.0,1267.0
0.07786703109741211,2697.0,2378.0,1344.0,4095.0,917.0
0.08287286758422852,2682.0,2953.0,1383.0,4095.0,1410.0
0.08298611640930176,2880.0,2862.0,1397.0,4095.0,4095.0
0.08882808685302734,2928.0,2747.0,1471.0,4095.0,2721.0
0.08894014358520508,2731.0,2322.0,1607.0,4095.0,1187.0
0.09491109848022461,2883.0,3062.0,1615.0,4095.0,2805.0
0.09502124786376953,2883.0,2823.0,1783.0,4095.0,1535.0
0.09971308708190918,2145.0,2656.0,1752.0,4095.0,4095.0
0.09981203079223633,2746.0,3071.0,777.0,4095.0,1381.0
